1143,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1005,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1326,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1234,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1312,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1280,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1073,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1222,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1102,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1032,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1106,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1128,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1066,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1256,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1066,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1025,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1064,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1029,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1130,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1249,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1081,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1185,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1252,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1019,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1235,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1188,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1324,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1318,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1060,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1033,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1033,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1282,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1037,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1287,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1266,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1182,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1196,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1127,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1311,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1038,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1314,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1237,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1239,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
1184,null,Não é possível emitir o diploma pois há disciplinas não cursadas.
